Ya	O
Kammala	O
Ziyarar	O
Yakin	O
Neman	O
Zabe	O
A	O
Jihar	O
Kano	B-LOC
	
Gabanin	O
bayyana	O
a	O
dadalin	O
taron	O
,	O
sai	O
da	O
shugaban	O
ya	O
bude	O
wata	O
gada	O
da	O
gwamnatin	O
Kano	B-LOC
ta	O
gina	O
a	O
daf	O
da	O
Barikin	B-LOC
sojoji	I-LOC
na	I-LOC
Bokavo	I-LOC
kuma	O
ya	O
kai	O
ziyarar	O
neman	O
tabarraki	O
fadar	O
mai	O
martaba	O
sarkin	O
Kano	B-LOC
Malam	O
Muhamamdu	B-PER
Sanusi	I-PER
na	O
biyu	O
.	O
	
Dubbun	O
dubatun	O
mutane	O
ne	O
suka	O
yi	O
dafifi	O
domin	O
tarbar	O
shugaban	O
,	O
sai	O
dai	O
a	O
iya	O
cewa	O
taron	O
ya	O
saba	O
da	O
wadda	O
aka	O
saba	O
gani	O
a	O
lokutan	O
baya	O
,	O
inda	O
Kano	B-LOC
kan	O
tsaya	O
cik	O
har	O
sai	O
shugaban	O
ya	O
kammala	O
ziyara	O
.	O
	
A	O
wannan	O
karon	O
jama'a	O
da	O
dama	O
musamman	O
a	O
sassa	O
daban	O
daban	O
na	O
birnin	O
Kano	B-LOC
sun	O
ci	O
gaba	O
da	O
harkokin	O
su	O
.	O
	
Domin	O
karin	O
Bayani	O
saurari	O
rahoton	O
Mahmud	B-PER
Ibrahim	I-PER
Kwari	I-PER
.	O
	
Lauyoyi	O
Suna	O
Fashin	O
Baki	O
A	O
Kan	O
Gurfanar	O
Da	O
Babban	O
Alakali	O
Gaban	O
Kotu	O
	
A	O
sharhin	O
lauya	O
mai	O
zaman	O
kan	O
sa	O
a	O
Abuja	B-LOC
,	O
Yusuf	B-PER
Sallau	I-PER
Mutum	O
Biyu	O
yace	O
girman	O
matsayin	O
alkalin	O
zai	O
zama	O
kaskanci	O
a	O
gare	O
shi	O
da	O
jami’an	O
shari’a	O
in	O
an	O
gurfanar	O
da	O
shi	O
gaban	O
kotu	O
ta	O
hanyar	O
shigar	O
da	O
shi	O
akwatin	O
ba	O
da	O
shaida	O
.	O
	
Mutum	O
Biyu	O
yace	O
duk	O
da	O
a	O
tsarin	O
mulkin	O
Najeriya	B-LOC
babban	O
alkalin	O
ba	O
shi	O
da	O
kariya	O
kamar	O
ta	O
shugaban	O
kasa	O
da	O
gwamnoni	O
,	O
amma	O
ya	O
na	O
cikin	O
tsarin	O
doka	O
a	O
bi	O
ta	O
hannun	O
hukumar	O
kula	O
da	O
shari’a	O
NJC	B-ORG
ta	O
binciki	O
lamarin	O
kafin	O
daukar	O
matakin	O
gurfana	O
gaban	O
kotu	O
.	O
	
Da	O
ya	O
ke	O
amsa	O
tambayar	O
matakin	O
da	O
kotu	O
zata	O
dauka	O
in	O
babban	O
alkalin	O
ya	O
ki	O
gurfana	O
gaban	O
ta	O
karo	O
na	O
biyu	O
,	O
Barista	O
Yusuf	B-PER
Sallau	I-PER
ya	O
ce	O
kotu	O
ka	O
iya	O
bada	O
sammacin	O
kamo	O
wanda	O
a	O
ke	O
tuhuma	O
amma	O
ya	O
na	O
ganin	O
lamarin	O
ba	O
zai	O
kai	O
ga	O
haka	O
ba	O
ga	O
babban	O
alkalin	O
.	O
	
Wannan	O
dai	O
shi	O
ne	O
kusan	O
karo	O
na	O
farko	O
a	O
Najeriya	B-LOC
da	O
a	O
ke	O
yunkurin	O
gurfanar	O
da	O
babban	O
alkali	O
kuma	O
shugaban	O
kotun	O
koli	O
gaban	O
kotu	O
.	O
	
Ga	O
rahoton	O
Nasiru	B-PER
Adamu	I-PER
Elhikaya	I-PER
daga	O
birnin	O
Abuja	B-LOC
:	O
	
Najeriya	B-LOC
Za	O
Ta	O
Hana	O
Mutane	O
Miliyan	O
47	O
Bahaya	O
A	O
Fili	O
	
Ministan	O
Ruwan	O
Najeriya	B-LOC
,	O
Injiniya	O
Suleiman	B-PER
Husaini	I-PER
Adamu	I-PER
,	O
ya	O
ce	O
a	O
halin	O
yanzu	O
akwai	O
kimanin	O
mutane	O
miliyan	O
47	O
da	O
su	O
ke	O
bahaya	O
a	O
filin	O
Allah	O
ta’ala	O
,	O
al’amarin	O
da	O
ya	O
sa	O
Najeriya	B-LOC
ta	O
zama	O
kasa	O
ta	O
biyu	O
a	O
duk	O
fadin	O
duniya	O
wajen	O
wannan	O
matsalar	O
.	O
	
Ya	O
bayyana	O
hakan	O
a	O
gurin	O
wani	O
taro	O
kan	O
albarkatun	O
ruwa	O
da	O
tsabtar	O
muhalli	O
.	O
	
MInistan	O
ruwan	O
ya	O
ce	O
,	O
Indiya	B-LOC
tana	O
da	O
kimanin	O
mutane	O
miliyan	O
500	O
da	O
su	O
ke	O
bahaya	O
a	O
fili	O
,	O
amma	O
bisa	O
kokarin	O
da	O
Firaiminstan	O
Indiya	B-LOC
ya	O
yi	O
cikin	O
shekaru	O
uku	O
kacal	O
an	O
shawo	O
kan	O
matsalar	O
da	O
kashi	O
cas’in	O
a	O
duk	O
fadin	O
kasar	O
.	O
	
Mininstan	O
ruwan	O
yace	O
mutanan	O
Indiya	B-LOC
sun	O
yi	O
bandaki	O
sama	O
da	O
miliyan	O
80	O
,	O
ya	O
kuma	O
kara	O
da	O
cewa	O
idan	O
har	O
Indiya	B-LOC
za	O
ta	O
iya	O
hana	O
Mutane	O
miliyan	O
500	O
cikin	O
shekaru	O
uku	O
to	O
ba	O
abinda	O
zai	O
hana	O
Najeriya	B-LOC
ta	O
hana	O
mutanenta	O
miliyan	O
47	O
.	O
	
Sannan	O
y	O
ace	O
don	O
shawo	O
kan	O
wannan	O
matsalar	O
ya	O
tura	O
wasu	O
jami’ai	O
daga	O
ma’aikatarsa	O
da	O
kuma	O
wakilai	O
daga	O
jihohi	O
zuwa	O
Indiya	B-LOC
don	O
ganin	O
yadda	O
itama	O
Najeriya	B-LOC
zata	O
dabbaka	O
wannan	O
tsarin	O
yadda	O
zai	O
dace	O
da	O
ita	O
.	O
	
A	O
halin	O
da	O
ake	O
ciki	O
yanzu	O
,	O
